age_group,gender,height,weight,bmi,exercise_days,exercise_time,days_per_week,minutes_per_day,total_minutes_per_week,target_weight,weight_loss
40-49,female,169.5,60.3,21.0,7日/週,120〜180分,7,150,1050,45.0,15.3
50-59,female,157.0,56.6,23.0,1日/週,30分未満,1,15,15,55.9,0.8
50-59,male,172.7,89.2,29.9,4日/週,60〜120分,4,90,360,82.7,6.5
50-59,male,171.2,55.4,18.9,2日/週,30分未満,2,15,30,54.6,0.8
60-69,male,170.1,68.3,23.6,2日/週,60〜120分,2,90,180,66.1,2.3
60-69,female,166.5,51.3,18.5,運動なし,0分,0,0,0,50.4,0.9
50-59,female,162.7,64.2,24.3,7日/週,120〜180分,7,150,1050,45.0,19.2
20-29,female,162.8,64.3,24.2,4日/週,30〜60分,4,45,180,60.5,3.8
50-59,male,174.5,65.5,21.5,運動なし,0分,0,0,0,66.5,-0.9
60-69,male,165.6,67.4,24.6,4日/週,30〜60分,4,45,180,64.6,2.8
50-59,male,180.0,69.6,21.5,6日/週,60〜120分,6,90,540,59.4,10.3
60-69,male,168.2,77.2,27.3,1日/週,30〜60分,1,45,45,75.9,1.3
40-49,female,171.0,53.3,18.2,2日/週,60〜120分,2,90,180,49.7,3.6
70,male,175.6,67.6,21.9,2日/週,30分未満,2,15,30,67.9,-0.3
70,male,167.1,63.3,22.7,6日/週,180分以上,6,210,1260,45.0,18.3
20-29,male,168.3,55.6,19.6,7日/週,120〜180分,7,150,1050,45.0,10.6
40-49,female,167.5,75.6,26.9,1日/週,120〜180分,1,150,150,72.3,3.3
50-59,female,169.1,52.0,18.2,3日/週,30〜60分,3,45,135,48.7,3.3
60-69,male,172.6,72.0,24.2,5日/週,30〜60分,5,45,225,68.1,3.9
20-29,male,174.7,72.3,23.7,1日/週,30〜60分,1,45,45,71.5,0.8
60-69,female,164.1,45.9,17.1,5日/週,60〜120分,5,90,450,45.0,0.9
40-49,male,172.6,74.8,25.1,7日/週,60〜120分,7,90,630,63.1,11.7
60-69,female,159.3,61.2,24.1,1日/週,30分未満,1,15,15,60.9,0.3
70,female,164.6,40.7,15.0,3日/週,30分未満,3,15,45,45.0,-4.3
60-69,male,166.5,55.6,20.0,4日/週,120〜180分,4,150,600,45.0,10.6
40-49,female,160.9,60.8,23.5,5日/週,30分未満,5,15,75,59.4,1.4
